GEO,UNIT,SECTOR,NA_ITEM\TIME	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018	2019
Belgium,Million euro,Total economy,Gross fixed capital formation	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:
Germany (until 1990 former territory of the FRG),Million euro,Total economy,Gross fixed capital formation	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:
Ireland,Million euro,Total economy,Gross fixed capital formation	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:
Greece,Million euro,Total economy,Gross fixed capital formation	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:
Spain,Million euro,Total economy,Gross fixed capital formation	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:
France,Million euro,Total economy,Gross fixed capital formation	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:
Italy,Million euro,Total economy,Gross fixed capital formation	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:
Cyprus,Million euro,Total economy,Gross fixed capital formation	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:
Luxembourg,Million euro,Total economy,Gross fixed capital formation	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:
Malta,Million euro,Total economy,Gross fixed capital formation	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:
Netherlands,Million euro,Total economy,Gross fixed capital formation	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:
Austria,Million euro,Total economy,Gross fixed capital formation	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:
Portugal,Million euro,Total economy,Gross fixed capital formation	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:
Slovenia,Million euro,Total economy,Gross fixed capital formation	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:
Slovakia,Million euro,Total economy,Gross fixed capital formation	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:
Finland,Million euro,Total economy,Gross fixed capital formation	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:
Belgium,Million euro,Total economy,Gross domestic product at market prices	242 307.6	256 376.4	264 334.9	273 255.9	281 200.2	296 819.7	310 037.6	325 151.5	343 618.9	351 743.1	346 472.8	363 140.1	375 967.8	386 174.7	392 880.0	403 003.3	416 701.4	430 372.1	446 364.9	459 819.8	473 638.9
Germany (until 1990 former territory of the FRG),Million euro,Total economy,Gross domestic product at market prices	2 059 480.0	2 109 090.0	2 172 540.0	2 198 120.0	2 211 570.0	2 262 520.0	2 288 310.0	2 385 080.0	2 499 550.0	2 546 490.0	2 445 730.0	2 564 400.0	2 693 560.0	2 745 310.0	2 811 350.0	2 927 430.0	3 030 070.0	3 134 100.0	3 244 990.0	3 344 370.0	3 435 760.0
Ireland,Million euro,Total economy,Gross domestic product at market prices	92 632.4	108 380.4	121 958.6	135 959.5	145 556.2	156 143.5	170 187.0	184 993.7	197 202.0	187 769.1	170 100.5	167 732.3	170 827.0	175 115.7	179 661.3	194 818.2	262 833.4	271 683.6	297 130.8	324 038.2	347 215.0
Greece,Million euro,Total economy,Gross domestic product at market prices	139 945.4	142 975.7	152 194.0	163 461.0	178 905.0	193 716.0	199 242.0	217 862.0	232 695.0	241 990.0	237 534.0	226 031.0	207 029.0	191 204.0	180 654.0	178 656.0	177 258.0	176 488.0	180 218.0	184 714.0	187 456.0
Spain,Million euro,Total economy,Gross domestic product at market prices	595 723.0	647 851.0	700 993.0	749 552.0	802 266.0	859 437.0	927 357.0	1 003 823.0	1 075 539.0	1 109 541.0	1 069 323.0	1 072 709.0	1 063 763.0	1 031 099.0	1 020 348.0	1 032 158.0	1 077 590.0	1 113 840.0	1 161 878.0	1 202 193.0	1 245 331.0
France,Million euro,Total economy,Gross domestic product at market prices	1 400 999.3	1 478 585.1	1 538 199.9	1 587 829.2	1 630 665.8	1 704 018.5	1 765 904.9	1 848 150.7	1 941 360.2	1 992 380.0	1 936 422.3	1 995 289.0	2 058 368.9	2 088 804.4	2 117 189.5	2 149 765.0	2 198 432.0	2 234 129.0	2 297 242.0	2 360 687.0	2 426 276.0
Italy,Million euro,Total economy,Gross domestic product at market prices	1 175 149.5	1 241 512.9	1 304 136.8	1 350 258.9	1 394 693.2	1 452 319.0	1 493 635.3	1 552 686.8	1 614 839.8	1 637 699.4	1 577 255.9	1 611 279.4	1 648 755.8	1 624 358.7	1 612 751.3	1 627 405.6	1 655 355.0	1 695 786.8	1 736 592.8	1 766 168.2	1 787 664.1
Cyprus,Million euro,Total economy,Gross domestic product at market prices	9 839.7	10 804.5	11 602.8	12 082.9	12 871.2	13 937.9	15 039.2	16 263.7	17 590.9	19 006.2	18 673.5	19 410.0	19 803.0	19 440.8	17 995.0	17 408.5	17 826.9	18 872.9	20 039.7	21 137.8	21 943.6
Luxembourg,Million euro,Total economy,Gross domestic product at market prices	20 870.6	23 079.4	23 771.9	25 094.7	26 187.8	27 935.5	30 031.0	33 808.4	37 178.9	38 128.6	36 976.5	40 177.8	43 164.6	44 112.1	46 499.6	49 824.5	52 065.8	54 867.2	56 814.2	60 053.1	63 516.3
Malta,Million euro,Total economy,Gross domestic product at market prices	3 835.1	4 394.9	4 541.1	4 737.2	4 794.6	4 867.1	5 142.1	5 386.1	5 757.5	6 128.7	6 138.6	6 599.5	6 835.8	7 164.6	7 644.9	8 507.3	9 628.0	10 338.9	11 284.4	12 366.3	13 208.5
Netherlands,Million euro,Total economy,Gross domestic product at market prices	419 459.0	452 007.0	481 881.0	501 137.0	512 810.0	529 286.0	550 883.0	584 546.0	619 170.0	647 198.0	624 842.0	639 187.0	650 359.0	652 966.0	660 463.0	671 560.0	690 008.0	708 337.0	738 146.0	774 039.0	812 051.0
Austria,Million euro,Total economy,Gross domestic product at market prices	203 850.6	213 606.5	220 525.1	226 735.2	231 862.5	242 348.3	254 075.0	267 824.5	283 978.0	293 761.9	288 044.0	295 896.6	310 128.7	318 653.0	323 910.2	333 146.1	344 269.2	357 299.7	370 295.8	385 711.9	398 521.9
Portugal,Million euro,Total economy,Gross domestic product at market prices	119 603.3	128 414.4	135 775.0	142 554.3	146 067.9	152 248.4	158 552.7	166 260.5	175 483.4	179 102.8	175 416.4	179 610.8	176 096.2	168 295.6	170 492.3	173 053.7	179 713.2	186 489.8	195 947.2	204 304.8	212 302.8
Slovenia,Million euro,Total economy,Gross domestic product at market prices	21 227.5	21 866.8	23 249.1	24 972.4	26 247.5	27 692.0	29 122.3	31 476.1	35 073.5	37 925.7	36 254.9	36 363.9	37 058.6	36 253.3	36 454.3	37 634.3	38 852.6	40 366.6	42 987.1	45 754.8	48 006.6
Slovakia,Million euro,Total economy,Gross domestic product at market prices	19 516.1	22 389.1	23 909.8	26 340.7	30 119.1	34 757.7	39 403.4	45 602.0	56 339.3	66 098.1	64 095.5	68 093.0	71 214.4	73 483.8	74 354.8	76 255.9	79 758.2	81 038.4	84 517.0	89 721.0	94 177.0
Finland,Million euro,Total economy,Gross domestic product at market prices	126 916.0	136 442.0	144 628.0	148 486.0	151 749.0	158 758.0	164 687.0	172 897.0	187 072.0	194 265.0	181 747.0	188 143.0	197 998.0	201 037.0	204 321.0	206 897.0	211 385.0	217 518.0	225 836.0	233 619.0	240 078.0
Belgium,Million euro,Total economy,Net lending (+) /net borrowing (-)	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:
Germany (until 1990 former territory of the FRG),Million euro,Total economy,Net lending (+) /net borrowing (-)	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:
Ireland,Million euro,Total economy,Net lending (+) /net borrowing (-)	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:
Greece,Million euro,Total economy,Net lending (+) /net borrowing (-)	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:
